Round,Turn,Entity,Courtney cash,Jeff cash,Michael cash,Matthew cash,Courtney net,Jeff net,Michael net,Matthew net,Baltimore & Ohio cash,Boston & Maine cash,Chesapeake & Ohio cash,Illinois Central cash,Erie cash,New York Central cash,Nickel Plate cash,New York New Haven & Hartford cash,Pennsylvania cash,Wabash cash,Norfolk & Western cash,Baltimore & Ohio np,Boston & Maine np,Chesapeake & Ohio np,Illinois Central np,Erie np,New York Central np,Nickel Plate np,New York New Haven & Hartford np,Pennsylvania np,Wabash np,Norfolk & Western np,Baltimore & Ohio val,Boston & Maine val,Chesapeake & Ohio val,Illinois Central val,Erie val,New York Central val,Nickel Plate val,New York New Haven & Hartford val,Pennsylvania val,Wabash val,Norfolk & Western val,Baltimore & Ohio pps,Boston & Maine pps,Chesapeake & Ohio pps,Illinois Central pps,Erie pps,New York Central pps,Nickel Plate pps,New York New Haven & Hartford pps,Pennsylvania pps,Wabash pps,Norfolk & Western pps,Baltimore & Ohio sh,Boston & Maine sh,Chesapeake & Ohio sh,Illinois Central sh,Erie sh,New York Central sh,Nickel Plate sh,New York New Haven & Hartford sh,Pennsylvania sh,Wabash sh,Norfolk & Western sh,Baltimore & Ohio or,Boston & Maine or,Chesapeake & Ohio or,Illinois Central or,Erie or,New York Central or,Nickel Plate or,New York New Haven & Hartford or,Pennsylvania or,Wabash or,Norfolk & Western or,Train 
1,0,Michael,375,375,135,375,375,375,375,375,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,34,34,34,34,34,34,34,34,34,34,0,0,0,0,0,0,0,0,0,0,0,6,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,1
1,1,Matthew,375,375,135,15,375,375,375,375,240,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,60,34,34,34,34,34,34,34,60,34,34,0,0,0,0,0,0,0,0,0,0,0,6,10,10,10,10,10,10,10,4,10,10,0,0,0,0,0,0,0,0,0,0,0,1
1,2,Jeff,375,15,135,15,375,375,375,375,240,360,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,34,34,34,34,34,34,60,34,34,0,0,0,0,0,0,0,0,0,0,0,6,4,10,10,10,10,10,10,4,10,10,0,0,0,0,0,0,0,0,0,0,0,1
1,3,Courtney,135,15,135,15,375,375,375,375,480,360,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,34,34,34,34,34,34,60,34,34,0,0,0,0,0,0,0,0,0,0,0,2,4,10,10,10,10,10,10,4,10,10,0,0,0,0,0,0,0,0,0,0,0,1
1,0,Michael,135,15,15,15,375,375,375,375,480,360,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,34,34,34,34,34,34,60,34,34,0,0,0,0,0,0,0,0,0,0,0,2,4,10,10,10,10,10,10,2,10,10,0,0,0,0,0,0,0,0,0,0,0,1
1,1,Matthew,135,15,15,375,375,375,365,375,480,360,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,34,34,34,34,34,34,55,34,34,0,0,0,0,0,0,0,0,-5,0,0,2,4,10,10,10,10,10,10,2,10,10,0,0,0,0,0,0,0,0,6,0,0,1
1,2,Jeff,135,15,15,375,375,375,365,375,480,360,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,34,34,34,34,34,34,55,34,34,0,0,0,0,0,0,0,0,-5,0,0,2,4,10,10,10,10,10,10,2,10,10,0,0,0,0,0,0,0,0,6,0,0,1
1,3,Courtney,25,15,15,375,375,375,365,375,480,360,0,0,0,0,0,0,480,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,34,34,34,34,34,34,55,34,34,0,0,0,0,0,0,0,0,-5,0,0,2,4,10,10,10,10,10,10,2,10,10,0,0,0,0,0,0,0,0,4,0,0,1
1,0,Michael,25,15,15,375,375,375,365,375,480,360,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,34,34,34,34,34,34,55,34,34,0,0,0,0,0,0,0,0,-5,0,0,2,4,10,10,10,10,10,10,6,10,10,0,0,0,0,0,0,0,0,0,0,0,1
1,1,Matthew,25,15,15,255,375,375,365,375,600,360,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,34,34,34,34,34,34,55,34,34,0,0,0,0,0,0,0,0,-5,0,0,0,4,10,10,10,10,10,10,6,10,10,0,0,0,0,0,0,0,0,0,0,0,1
1,2,Jeff,25,15,15,255,375,375,365,375,600,360,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,34,34,34,34,34,34,55,34,34,0,0,0,0,0,0,0,0,-5,0,0,0,4,10,10,10,10,10,10,6,10,10,0,0,0,0,0,0,0,0,0,0,0,1
1,3,Courtney,25,15,15,255,375,375,365,375,600,360,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,34,34,34,34,34,34,55,34,34,0,0,0,0,0,0,0,0,-5,0,0,0,4,10,10,10,10,10,10,6,10,10,0,0,0,0,0,0,0,0,0,0,0,1
