Round,Turn,Entity,Nell cash,Bob cash,Pete cash,Malvoy cash,Nell net,Bob net,Pete net,Malvoy net,Baltimore & Ohio cash,Boston & Maine cash,Chesapeake & Ohio cash,Illinois Central cash,Erie cash,New York Central cash,Nickel Plate cash,New York New Haven & Hartford cash,Pennsylvania cash,Wabash cash,Norfolk & Western cash,Baltimore & Ohio np,Boston & Maine np,Chesapeake & Ohio np,Illinois Central np,Erie np,New York Central np,Nickel Plate np,New York New Haven & Hartford np,Pennsylvania np,Wabash np,Norfolk & Western np,Baltimore & Ohio val,Boston & Maine val,Chesapeake & Ohio val,Illinois Central val,Erie val,New York Central val,Nickel Plate val,New York New Haven & Hartford val,Pennsylvania val,Wabash val,Norfolk & Western val,Baltimore & Ohio pps,Boston & Maine pps,Chesapeake & Ohio pps,Illinois Central pps,Erie pps,New York Central pps,Nickel Plate pps,New York New Haven & Hartford pps,Pennsylvania pps,Wabash pps,Norfolk & Western pps,Baltimore & Ohio sh,Boston & Maine sh,Chesapeake & Ohio sh,Illinois Central sh,Erie sh,New York Central sh,Nickel Plate sh,New York New Haven & Hartford sh,Pennsylvania sh,Wabash sh,Norfolk & Western sh,Baltimore & Ohio or,Boston & Maine or,Chesapeake & Ohio or,Illinois Central or,Erie or,New York Central or,Nickel Plate or,New York New Haven & Hartford or,Pennsylvania or,Wabash or,Norfolk & Western or,Train 
1,0,Nell,375,375,375,375,375,375,375,375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,34,34,34,34,34,34,34,34,34,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,0,1
1,1,Pete,375,375,15,375,375,375,375,375,0,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,34,34,34,34,34,34,60,34,34,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,4,10,10,0,0,0,0,0,0,0,0,0,0,0,1
1,2,Bob,375,15,15,375,375,375,375,375,360,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,60,34,34,34,34,34,34,34,60,34,34,0,0,0,0,0,0,0,0,0,0,0,4,10,10,10,10,10,10,10,4,10,10,0,0,0,0,0,0,0,0,0,0,0,1
1,3,Malvoy,375,15,15,195,375,375,375,375,540,0,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,60,34,34,34,34,34,34,34,60,34,34,0,0,0,0,0,0,0,0,0,0,0,1,10,10,10,10,10,10,10,4,10,10,0,0,0,0,0,0,0,0,0,0,0,1
1,0,Nell,15,15,15,195,375,375,375,375,540,360,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,34,34,34,34,34,34,60,34,34,0,0,0,0,0,0,0,0,0,0,0,1,4,10,10,10,10,10,10,4,10,10,0,0,0,0,0,0,0,0,0,0,0,1
1,1,Pete,15,15,15,195,375,375,375,375,540,360,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,34,34,34,34,34,34,60,34,34,0,0,0,0,0,0,0,0,0,0,0,1,4,10,10,10,10,10,10,4,10,10,0,0,0,0,0,0,0,0,0,0,0,1
1,2,Bob,15,15,15,195,375,375,375,375,540,360,0,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,34,34,34,34,34,34,60,34,34,0,0,0,0,0,0,0,0,0,0,0,1,4,10,10,10,10,10,10,4,10,10,0,0,0,0,0,0,0,0,0,0,0,1
1,3,Malvoy,15,15,15,15,375,375,375,375,540,360,0,0,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,34,34,34,34,34,34,60,34,34,0,0,0,0,0,0,0,0,0,0,0,1,4,10,10,10,10,10,10,1,10,10,0,0,0,0,0,0,0,0,0,0,0,1
1,0,Nell,15,15,15,15,375,375,375,375,540,360,0,0,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,34,34,34,34,34,34,60,34,34,0,0,0,0,0,0,0,0,0,0,0,1,4,10,10,10,10,10,10,1,10,10,0,0,0,0,0,0,0,0,0,0,0,1
1,1,Pete,15,15,15,15,375,375,375,375,540,360,0,0,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,34,34,34,34,34,34,60,34,34,0,0,0,0,0,0,0,0,0,0,0,1,4,10,10,10,10,10,10,1,10,10,0,0,0,0,0,0,0,0,0,0,0,1
1,2,Bob,15,15,15,15,375,375,375,375,540,360,0,0,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,34,34,34,34,34,34,60,34,34,0,0,0,0,0,0,0,0,0,0,0,1,4,10,10,10,10,10,10,1,10,10,0,0,0,0,0,0,0,0,0,0,0,1
1,3,Malvoy,15,15,15,15,375,375,375,375,540,360,0,0,0,0,0,0,540,0,0,0,0,0,0,0,0,0,0,0,0,0,60,60,34,34,34,34,34,34,60,34,34,0,0,0,0,0,0,0,0,0,0,0,1,4,10,10,10,10,10,10,1,10,10,0,0,0,0,0,0,0,0,0,0,0,1
2,0,Pennsylvania,15,15,27,21,375,375,423,399,540,360,0,0,0,0,0,0,422,0,0,0,0,0,0,0,0,0,0,20,0,0,60,60,34,34,34,34,34,34,66,34,34,0,0,0,0,0,0,0,0,8,0,0,1,4,10,10,10,10,10,10,1,10,10,0,0,0,0,0,0,0,0,0,0,0,2
2,1,Baltimore & Ohio,15,21,27,24,375,417,423,420,436,360,0,0,0,0,0,0,422,0,0,10,0,0,0,0,0,0,0,20,0,0,66,60,34,34,34,34,34,34,66,34,34,7,0,0,0,0,0,0,0,8,0,0,1,4,10,10,10,10,10,10,1,10,10,0,0,0,0,0,0,0,0,0,0,0,3
2,2,Boston & Maine,21,21,27,24,417,417,423,420,436,254,0,0,0,0,0,0,422,0,0,10,10,0,0,0,0,0,0,20,0,0,66,66,34,34,34,34,34,34,66,34,34,7,7,0,0,0,0,0,0,8,0,0,1,4,10,10,10,10,10,10,1,10,10,0,0,0,0,0,0,0,0,0,0,0,4
3,0,Pennsylvania,21,21,39,30,417,417,435,426,436,254,0,0,0,0,0,0,404,0,0,10,10,0,0,0,0,0,0,20,0,0,66,66,34,34,34,34,34,34,66,34,34,0,0,0,0,0,0,0,0,2,0,0,1,4,10,10,10,10,10,10,1,10,10,0,0,0,0,0,0,0,0,0,0,0,4
3,1,Baltimore & Ohio,21,27,39,33,417,423,435,429,417,254,0,0,0,0,0,0,404,0,0,10,10,0,0,0,0,0,0,20,0,0,66,66,34,34,34,34,34,34,66,34,34,1,0,0,0,0,0,0,0,2,0,0,1,4,10,10,10,10,10,10,1,10,10,0,0,0,0,0,0,0,0,0,0,0,4
3,2,Boston & Maine,33,27,39,33,477,423,435,429,417,232,0,0,0,0,0,0,404,0,0,10,20,0,0,0,0,0,0,20,0,0,66,74,34,34,34,34,34,34,66,34,34,1,10,0,0,0,0,0,0,2,0,0,1,4,10,10,10,10,10,10,1,10,10,0,0,0,0,0,0,0,0,0,0,0,4
1,0,Bob,33,27,39,33,477,423,435,429,417,232,0,0,0,0,0,0,404,0,0,10,20,0,0,0,0,0,0,20,0,0,66,74,34,34,34,34,34,34,66,34,34,0,0,0,0,0,0,0,0,0,0,0,1,4,10,10,10,10,10,10,1,10,10,0,0,0,0,0,0,0,0,0,0,0,4
1,1,Nell,33,27,39,33,477,423,435,429,417,232,0,0,0,0,0,0,404,0,0,10,20,0,0,0,0,0,0,20,0,0,66,74,34,34,34,34,34,34,66,34,34,0,0,0,0,0,0,0,0,0,0,0,1,4,10,10,10,10,10,10,1,10,10,0,0,0,0,0,0,0,0,0,0,0,4
1,2,Malvoy,33,27,39,33,477,423,435,429,417,232,0,0,0,0,0,0,404,0,0,10,20,0,0,0,0,0,0,20,0,0,66,74,34,34,34,34,34,34,66,34,34,0,0,0,0,0,0,0,0,0,0,0,1,4,10,10,10,10,10,10,1,10,10,0,0,0,0,0,0,0,0,0,0,0,4
1,3,Pete,33,27,39,33,477,423,435,429,417,232,0,0,0,0,0,0,404,0,0,10,20,0,0,0,0,0,0,20,0,0,66,74,34,34,34,34,34,34,66,34,34,0,0,0,0,0,0,0,0,0,0,0,1,4,10,10,10,10,10,10,1,10,10,0,0,0,0,0,0,0,0,0,0,0,4
2,0,Boston & Maine,51,27,39,33,543,423,435,429,417,119,0,0,0,0,0,0,404,0,0,10,30,0,0,0,0,0,0,20,0,0,66,82,34,34,34,34,34,34,66,34,34,0,11,0,0,0,0,0,0,0,0,0,1,4,10,10,10,10,10,10,1,10,10,0,0,0,0,0,0,0,0,0,0,0,5
2,1,Pennsylvania,51,27,51,39,543,423,447,435,417,119,0,0,0,0,0,0,326,0,0,10,30,0,0,0,0,0,0,20,0,0,66,82,34,34,34,34,34,34,66,34,34,0,11,0,0,0,0,0,0,2,0,0,1,4,10,10,10,10,10,10,1,10,10,0,0,0,0,0,0,0,0,0,0,0,5
