SEQ,Round,Turn,Entity,Bob cash,Pete cash,Nel cash,Sue cash,Mal cash,Bob net,Pete net,Nel net,Sue net,Mal net,Baltimore & Ohio cash,Boston & Maine cash,Chesapeake & Ohio cash,Illinois Central cash,Erie cash,New York Central cash,Nickel Plate cash,New York New Haven & Hartford cash,Pennsylvania cash,Wabash cash,Baltimore & Ohio np,Boston & Maine np,Chesapeake & Ohio np,Illinois Central np,Erie np,New York Central np,Nickel Plate np,New York New Haven & Hartford np,Pennsylvania np,Wabash np,Baltimore & Ohio val,Boston & Maine val,Chesapeake & Ohio val,Illinois Central val,Erie val,New York Central val,Nickel Plate val,New York New Haven & Hartford val,Pennsylvania val,Wabash val,Baltimore & Ohio pps,Boston & Maine pps,Chesapeake & Ohio pps,Illinois Central pps,Erie pps,New York Central pps,Nickel Plate pps,New York New Haven & Hartford pps,Pennsylvania pps,Wabash pps,Baltimore & Ohio sh,Boston & Maine sh,Chesapeake & Ohio sh,Illinois Central sh,Erie sh,New York Central sh,Nickel Plate sh,New York New Haven & Hartford sh,Pennsylvania sh,Wabash sh,Baltimore & Ohio or,Boston & Maine or,Chesapeake & Ohio or,Illinois Central or,Erie or,New York Central or,Nickel Plate or,New York New Haven & Hartford or,Pennsylvania or,Wabash or,Train ,Baltimore & Ohio or,Boston & Maine or,Chesapeake & Ohio or,Illinois Central or,Erie or,New York Central or,Nickel Plate or,New York New Haven & Hartford or,Pennsylvania or,Wabash or
1,1,0,Pete,300,0,300,300,300,300,300,300,300,300,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,34,34,34,34,34,34,34,34,60,34,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,5,10,0,0,0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5,1,4,Sue,0,0,36,180,240,300,300,300,300,300,420,0,0,0,0,264,0,0,360,0,0,0,0,0,0,0,0,0,0,0,60,34,34,34,34,66,34,34,60,34,0,0,0,0,0,0,0,0,0,0,3,10,10,10,10,6,10,10,4,10,0,0,0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10,1,4,Sue,0,0,36,114,120,300,300,300,300,300,420,0,0,0,0,330,0,0,480,0,0,0,0,0,0,0,0,0,0,0,60,34,34,34,34,66,34,34,60,34,0,0,0,0,0,0,0,0,0,0,3,10,10,10,10,5,10,10,2,10,0,0,0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15,1,4,Sue,0,0,36,54,0,300,300,300,300,300,540,0,0,0,0,330,0,0,540,0,0,0,0,0,0,0,0,0,0,0,60,34,34,34,34,66,34,34,60,34,0,0,0,0,0,0,0,0,0,0,1,10,10,10,10,5,10,10,1,10,0,0,0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20,1,4,Sue,0,0,36,54,0,300,300,300,300,300,540,0,0,0,0,330,0,0,540,0,0,0,0,0,0,0,0,0,0,0,60,34,34,34,34,66,34,34,60,34,0,0,0,0,0,0,0,0,0,0,1,10,10,10,10,5,10,10,1,10,0,0,0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
21,2,0,New York Central,0,0,44,56,0,300,300,340,310,300,540,0,0,0,0,200,0,0,540,0,0,0,0,0,0,20,0,0,0,0,60,34,34,34,34,74,34,34,60,34,0,0,0,0,0,10,0,0,0,0,1,10,10,10,10,5,10,10,1,10,0,0,0,0,0,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.00
22,2,1,Pennsylvania,0,10,44,58,6,300,340,340,318,324,540,0,0,0,0,200,0,0,427,0,0,0,0,0,0,20,0,0,20,0,60,34,34,34,34,74,34,34,66,34,0,0,0,0,0,10,0,0,8,0,1,10,10,10,10,5,10,10,1,10,0,0,0,0,0,0,0,0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.30,0.00
23,2,2,Baltimore & Ohio,5,10,44,60,8,335,340,340,332,338,441,0,0,0,0,200,0,0,427,0,10,0,0,0,0,20,0,0,20,0,66,34,34,34,34,74,34,34,66,34,7,0,0,0,0,10,0,0,8,0,1,10,10,10,10,5,10,10,1,10,0,0,0,0,0,0,0,0,0,0,4,0.15,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.30,0.00
24,3,0,New York Central,5,10,60,64,8,335,340,388,344,338,441,0,0,0,0,75,0,0,427,0,10,0,0,0,0,40,0,0,20,0,66,34,34,34,34,82,34,34,66,34,0,0,0,0,0,12,0,0,0,0,1,10,10,10,10,5,10,10,1,10,0,0,0,0,0,0,0,0,0,0,5,0.15,0.00,0.00,0.00,0.00,0.49,0.00,0.00,0.30,0.00
25,3,1,Pennsylvania,5,20,60,66,14,335,350,388,346,344,441,0,0,0,0,75,0,0,409,0,10,0,0,0,0,40,0,0,20,0,66,34,34,34,34,82,34,34,66,34,0,0,0,0,0,12,0,0,2,0,1,10,10,10,10,5,10,10,1,10,0,0,0,0,0,0,0,0,0,0,5,0.15,0.00,0.00,0.00,0.00,0.49,0.00,0.00,0.30,0.00
26,3,2,Baltimore & Ohio,10,20,60,68,16,340,350,388,348,346,422,0,0,0,0,75,0,0,409,0,10,0,0,0,0,40,0,0,20,0,66,34,34,34,34,82,34,34,66,34,1,0,0,0,0,12,0,0,2,0,1,10,10,10,10,5,10,10,1,10,0,0,0,0,0,0,0,0,0,0,5,0.15,0.00,0.00,0.00,0.00,0.49,0.00,0.00,0.30,0.00
31,1,4,Sue,10,20,60,2,16,340,350,388,348,346,422,0,0,0,0,75,0,0,475,0,10,0,0,0,0,40,0,0,20,0,66,34,34,34,34,82,34,34,66,34,0,0,0,0,0,0,0,0,0,0,1,10,10,10,10,5,10,10,0,10,0,0,0,0,0,0,0,0,0,0,5,0.15,0.00,0.00,0.00,0.00,0.49,0.00,0.00,0.30,0.00
36,1,4,Sue,10,20,60,2,16,340,350,388,348,346,422,0,0,0,0,75,0,0,475,0,10,0,0,0,0,40,0,0,20,0,66,34,34,34,34,82,34,34,66,34,0,0,0,0,0,0,0,0,0,0,1,10,10,10,10,5,10,10,0,10,0,0,0,0,0,0,0,0,0,0,5,0.15,0.00,0.00,0.00,0.00,0.49,0.00,0.00,0.30,0.00
37,2,0,New York Central,10,20,76,6,16,340,350,404,352,346,422,0,0,0,0,85,0,0,475,0,10,0,0,0,0,40,0,0,20,0,66,34,34,34,34,82,34,34,66,34,0,0,0,0,0,4,0,0,0,0,1,10,10,10,10,5,10,10,0,10,0,0,0,0,0,0,0,0,0,0,5,0.15,0.00,0.00,0.00,0.00,0.49,0.00,0.00,0.30,0.00
38,2,1,Pennsylvania,10,30,76,10,22,340,360,404,356,352,422,0,0,0,0,85,0,0,395,0,10,0,0,0,0,40,0,0,20,0,66,34,34,34,34,82,34,34,66,34,0,0,0,0,0,4,0,0,2,0,1,10,10,10,10,5,10,10,0,10,0,0,0,0,0,0,0,0,0,0,5,0.15,0.00,0.00,0.00,0.00,0.49,0.00,0.00,0.30,0.00
