Round,Turn,Entity,Bob cash,Pete cash,Ollie cash,Mal cash,Cal cash,Phil cash,Bob net,Pete net,Ollie net,Mal net,Cal net,Phil net,Baltimore & Ohio cash,Boston & Maine cash,Chesapeake & Ohio cash,Illinois Central cash,Erie cash,New York Central cash,Nickel Plate cash,New York New Haven & Hartford cash,Pennsylvania cash,Wabash cash,Baltimore & Ohio np,Boston & Maine np,Chesapeake & Ohio np,Illinois Central np,Erie np,New York Central np,Nickel Plate np,New York New Haven & Hartford np,Pennsylvania np,Wabash np,Baltimore & Ohio val,Boston & Maine val,Chesapeake & Ohio val,Illinois Central val,Erie val,New York Central val,Nickel Plate val,New York New Haven & Hartford val,Pennsylvania val,Wabash val,Baltimore & Ohio pps,Boston & Maine pps,Chesapeake & Ohio pps,Illinois Central pps,Erie pps,New York Central pps,Nickel Plate pps,New York New Haven & Hartford pps,Pennsylvania pps,Wabash pps,Baltimore & Ohio sh,Boston & Maine sh,Chesapeake & Ohio sh,Illinois Central sh,Erie sh,New York Central sh,Nickel Plate sh,New York New Haven & Hartford sh,Pennsylvania sh,Wabash sh,Baltimore & Ohio or,Boston & Maine or,Chesapeake & Ohio or,Illinois Central or,Erie or,New York Central or,Nickel Plate or,New York New Haven & Hartford or,Pennsylvania or,Wabash or,Train 
1,0,Phil,250,250,250,250,250,250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,34,34,34,34,34,34,34,34,34,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,1
1,1,Pete,250,10,250,250,250,250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,240,0,0,0,0,0,0,0,0,0,0,0,34,34,34,34,34,34,34,34,60,34,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,6,10,0,0,0,0,0,0,0,0,0,0,1
1,2,Mal,250,10,250,190,250,250,250,250,250,250,250,250,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,34,34,34,34,34,34,34,34,60,34,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,10,5,10,0,0,0,0,0,0,0,0,0,0,1
1,3,Ollie,250,10,30,190,250,250,250,250,250,250,250,250,0,0,0,0,0,0,0,220,300,0,0,0,0,0,0,0,0,0,0,0,34,34,34,34,34,34,34,55,60,34,0,0,0,0,0,0,0,0,0,0,10,10,10,10,10,10,10,6,5,10,0,0,0,0,0,0,0,0,0,0,1
1,4,Bob,10,10,30,190,250,250,250,250,250,250,250,250,240,0,0,0,0,0,0,220,300,0,0,0,0,0,0,0,0,0,0,0,60,34,34,34,34,34,34,55,60,34,0,0,0,0,0,0,0,0,0,0,6,10,10,10,10,10,10,6,5,10,0,0,0,0,0,0,0,0,0,0,1
1,5,Cal,10,10,30,190,30,250,250,250,250,250,250,250,240,0,220,0,0,0,0,220,300,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,34,34,55,60,34,0,0,0,0,0,0,0,0,0,0,6,10,6,10,10,10,10,6,5,10,0,0,0,0,0,0,0,0,0,0,1
1,0,Phil,10,10,30,190,30,130,250,250,250,250,250,250,240,0,220,0,0,0,0,220,420,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,34,34,55,60,34,0,0,0,0,0,0,0,0,0,0,6,10,6,10,10,10,10,6,3,10,0,0,0,0,0,0,0,0,0,0,1
1,1,Pete,10,10,30,190,30,130,250,250,250,250,250,250,240,0,220,0,0,0,0,220,420,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,34,34,55,60,34,0,0,0,0,0,0,0,0,0,0,6,10,6,10,10,10,10,6,3,10,0,0,0,0,0,0,0,0,0,0,1
1,2,Mal,10,10,30,130,30,130,250,250,250,250,250,250,300,0,220,0,0,0,0,220,420,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,34,34,55,60,34,0,0,0,0,0,0,0,0,0,0,5,10,6,10,10,10,10,6,3,10,0,0,0,0,0,0,0,0,0,0,1
1,3,Ollie,10,10,30,130,30,130,250,250,250,250,250,250,300,0,220,0,0,0,0,220,420,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,34,34,55,60,34,0,0,0,0,0,0,0,0,0,0,5,10,6,10,10,10,10,6,3,10,0,0,0,0,0,0,0,0,0,0,1
1,4,Bob,10,10,30,130,30,130,250,250,250,250,250,250,300,0,220,0,0,0,0,220,420,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,34,34,55,60,34,0,0,0,0,0,0,0,0,0,0,5,10,6,10,10,10,10,6,3,10,0,0,0,0,0,0,0,0,0,0,1
1,5,Cal,10,10,30,130,30,130,250,250,250,250,250,250,300,0,220,0,0,0,0,220,420,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,34,34,55,60,34,0,0,0,0,0,0,0,0,0,0,5,10,6,10,10,10,10,6,3,10,0,0,0,0,0,0,0,0,0,0,1
1,0,Phil,10,10,30,130,30,20,250,250,250,250,250,250,300,0,330,0,0,0,0,220,420,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,34,34,55,60,34,0,0,0,0,0,0,0,0,0,0,5,10,4,10,10,10,10,6,3,10,0,0,0,0,0,0,0,0,0,0,1
1,1,Pete,10,10,30,130,30,20,250,250,250,250,250,250,300,0,330,0,0,0,0,220,420,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,34,34,55,60,34,0,0,0,0,0,0,0,0,0,0,5,10,4,10,10,10,10,6,3,10,0,0,0,0,0,0,0,0,0,0,1
1,2,Mal,10,10,30,75,30,20,250,250,250,250,250,250,300,0,385,0,0,0,0,220,420,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,34,34,55,60,34,0,0,0,0,0,0,0,0,0,0,5,10,3,10,10,10,10,6,3,10,0,0,0,0,0,0,0,0,0,0,1
1,3,Ollie,10,10,30,75,30,20,250,250,250,250,250,250,300,0,385,0,0,0,0,220,420,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,34,34,55,60,34,0,0,0,0,0,0,0,0,0,0,5,10,3,10,10,10,10,6,3,10,0,0,0,0,0,0,0,0,0,0,1
1,4,Bob,10,10,30,75,30,20,250,250,250,250,250,250,300,0,385,0,0,0,0,220,420,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,34,34,55,60,34,0,0,0,0,0,0,0,0,0,0,5,10,3,10,10,10,10,6,3,10,0,0,0,0,0,0,0,0,0,0,1
1,5,Cal,10,10,30,75,30,20,250,250,250,250,250,250,300,0,385,0,0,0,0,220,420,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,34,34,55,60,34,0,0,0,0,0,0,0,0,0,0,5,10,3,10,10,10,10,6,3,10,0,0,0,0,0,0,0,0,0,0,1
1,0,Phil,10,10,30,75,30,20,250,250,250,250,250,250,300,0,385,0,0,0,0,220,420,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,34,34,55,60,34,0,0,0,0,0,0,0,0,0,0,5,10,3,10,10,10,10,6,3,10,0,0,0,0,0,0,0,0,0,0,1
1,1,Pete,10,10,30,75,30,20,250,250,250,250,250,250,300,0,385,0,0,0,0,220,420,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,34,34,55,60,34,0,0,0,0,0,0,0,0,0,0,5,10,3,10,10,10,10,6,3,10,0,0,0,0,0,0,0,0,0,0,1
1,2,Mal,10,10,30,20,30,20,250,250,250,250,250,250,300,0,385,0,0,0,0,275,420,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,34,34,55,60,34,0,0,0,0,0,0,0,0,0,0,5,10,3,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,1
1,3,Ollie,10,10,30,20,30,20,250,250,250,250,250,250,300,0,385,0,0,0,0,275,420,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,34,34,55,60,34,0,0,0,0,0,0,0,0,0,0,5,10,3,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,1
1,4,Bob,10,10,30,20,30,20,250,250,250,250,250,250,300,0,385,0,0,0,0,275,420,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,34,34,55,60,34,0,0,0,0,0,0,0,0,0,0,5,10,3,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,1
1,5,Cal,10,10,30,20,30,20,250,250,250,250,250,250,300,0,385,0,0,0,0,275,420,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,34,34,55,60,34,0,0,0,0,0,0,0,0,0,0,5,10,3,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,1
1,0,Phil,10,10,30,20,30,20,250,250,250,250,250,250,300,0,385,0,0,0,0,275,420,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,34,34,55,60,34,0,0,0,0,0,0,0,0,0,0,5,10,3,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,1
1,1,Pete,10,10,30,20,30,20,250,250,250,250,250,250,300,0,385,0,0,0,0,275,420,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,34,34,55,60,34,0,0,0,0,0,0,0,0,0,0,5,10,3,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,1
1,2,Mal,10,10,30,20,30,20,250,250,250,250,250,250,300,0,385,0,0,0,0,275,420,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,34,34,55,60,34,0,0,0,0,0,0,0,0,0,0,5,10,3,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,1
1,3,Ollie,10,10,30,20,30,20,250,250,250,250,250,250,300,0,385,0,0,0,0,275,420,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,34,34,55,60,34,0,0,0,0,0,0,0,0,0,0,5,10,3,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,1
1,4,Bob,10,10,30,20,30,20,250,250,250,250,250,250,300,0,385,0,0,0,0,275,420,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,34,34,55,60,34,0,0,0,0,0,0,0,0,0,0,5,10,3,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,1
1,5,Cal,10,10,30,20,30,20,250,250,250,250,250,250,300,0,385,0,0,0,0,275,420,0,0,0,0,0,0,0,0,0,0,0,60,34,55,34,34,34,34,55,60,34,0,0,0,0,0,0,0,0,0,0,5,10,3,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,1
2,0,Pennsylvania,10,18,30,22,30,24,250,282,250,258,250,266,300,0,385,0,0,0,0,275,306,0,0,0,0,0,0,0,0,0,20,0,60,34,55,34,34,34,34,55,66,34,0,0,0,0,0,0,0,0,8,0,5,10,3,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,2
2,1,Baltimore & Ohio,14,18,30,23,30,24,278,282,250,265,250,266,200,0,385,0,0,0,0,275,306,0,10,0,0,0,0,0,0,0,20,0,66,34,55,34,34,34,34,55,66,34,7,0,0,0,0,0,0,0,8,0,5,10,3,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,3
2,2,New York New Haven & Hartford,14,18,34,24,30,24,278,282,274,271,250,266,200,0,385,0,0,0,0,180,306,0,10,0,0,0,0,0,0,10,20,0,66,34,55,34,34,34,34,60,66,34,7,0,0,0,0,0,0,6,8,0,5,10,3,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,4
2,3,Chesapeake & Ohio,14,18,34,25,34,26,278,282,274,277,274,278,200,0,303,0,0,0,0,180,306,0,10,0,10,0,0,0,0,10,20,0,66,34,60,34,34,34,34,60,66,34,7,0,6,0,0,0,0,6,8,0,5,10,3,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,5
3,0,Pennsylvania,14,26,34,27,34,30,278,290,274,279,274,282,200,0,303,0,0,0,0,180,292,0,10,0,10,0,0,0,0,10,20,0,66,34,60,34,34,34,34,60,66,34,0,0,0,0,0,0,0,0,2,0,5,10,3,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,5
3,1,Baltimore & Ohio,14,26,34,27,34,30,278,290,274,279,274,282,190,0,303,0,0,0,0,180,292,0,10,0,10,0,0,0,0,10,20,0,66,34,60,34,34,34,34,60,66,34,0,0,0,0,0,0,0,0,2,0,5,10,3,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,5
3,2,New York New Haven & Hartford,14,26,42,29,34,30,278,290,306,287,274,282,190,0,303,0,0,0,0,130,292,0,10,0,10,0,0,0,0,20,20,0,66,34,60,34,34,34,34,66,66,34,0,0,0,0,0,0,0,8,2,0,5,10,3,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,5
3,3,Chesapeake & Ohio,14,26,42,31,42,34,278,290,306,295,306,298,190,0,299,0,0,0,0,130,292,0,10,0,20,0,0,0,0,20,20,0,66,34,66,34,34,34,34,66,66,34,0,0,8,0,0,0,0,8,2,0,5,10,3,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,5
0,0,Pennsylvania,14,26,42,31,42,34,278,290,306,295,306,298,190,0,299,0,0,0,0,130,292,0,10,0,20,0,0,0,0,20,20,0,66,34,66,34,34,34,34,66,66,34,0,0,0,0,0,0,0,0,0,0,5,10,3,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,5
0,0,Pennsylvania,14,26,42,31,42,34,278,290,306,295,306,298,190,0,299,0,0,0,0,130,292,0,10,0,20,0,0,0,0,20,20,0,66,34,66,34,34,34,34,66,66,34,0,0,0,0,0,0,0,0,0,0,5,10,3,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,5
0,0,Pennsylvania,14,26,42,31,42,34,278,290,306,295,306,298,190,0,299,0,0,0,0,130,292,0,10,0,20,0,0,0,0,20,20,0,66,34,66,34,34,34,34,66,66,34,0,0,0,0,0,0,0,0,0,0,5,10,3,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,5
0,0,Pennsylvania,14,26,42,31,42,34,278,290,306,295,306,298,190,0,299,0,0,0,0,130,292,0,10,0,20,0,0,0,0,20,20,0,66,34,66,34,34,34,34,66,66,34,0,0,0,0,0,0,0,0,0,0,5,10,3,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,5
0,0,Pennsylvania,14,26,42,31,42,34,278,290,306,295,306,298,190,0,299,0,0,0,0,130,292,0,10,0,20,0,0,0,0,20,20,0,66,34,66,34,34,34,34,66,66,34,0,0,0,0,0,0,0,0,0,0,5,10,3,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,5
0,0,Pennsylvania,14,26,42,31,42,34,278,290,306,295,306,298,190,0,299,0,0,0,0,130,292,0,10,0,20,0,0,0,0,20,20,0,66,34,66,34,34,34,34,66,66,34,0,0,0,0,0,0,0,0,0,0,5,10,3,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,5
0,0,Pennsylvania,14,26,42,31,42,34,278,290,306,295,306,298,190,0,299,0,0,0,0,130,292,0,10,0,20,0,0,0,0,20,20,0,66,34,66,34,34,34,34,66,66,34,0,0,0,0,0,0,0,0,0,0,5,10,3,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,5
0,0,Pennsylvania,14,26,42,31,42,34,278,290,306,295,306,298,190,0,299,0,0,0,0,130,292,0,10,0,20,0,0,0,0,20,20,0,66,34,66,34,34,34,34,66,66,34,0,0,0,0,0,0,0,0,0,0,5,10,3,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,5
1,0,Bob,14,26,42,31,42,34,278,290,306,295,306,298,190,0,299,0,0,0,0,130,292,0,10,0,20,0,0,0,0,20,20,0,66,34,66,34,34,34,34,66,66,34,0,0,0,0,0,0,0,0,0,0,5,10,3,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,5
1,1,Pete,14,26,42,31,42,34,278,290,306,295,306,298,190,0,299,0,0,0,0,130,292,0,10,0,20,0,0,0,0,20,20,0,66,34,66,34,34,34,34,66,66,34,0,0,0,0,0,0,0,0,0,0,5,10,3,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,5
1,2,Mal,14,26,42,97,42,34,278,290,306,295,282,286,190,0,299,0,0,0,0,130,292,0,10,0,20,0,0,0,0,20,20,0,66,34,60,34,34,34,34,66,66,34,0,0,-6,0,0,0,0,0,0,0,5,10,3,10,10,10,10,5,3,10,0,0,1,0,0,0,0,0,0,0,5
1,3,Phil,14,26,42,97,42,22,278,290,306,295,262,286,322,0,299,0,0,0,0,130,292,0,10,0,20,0,0,0,0,20,20,0,66,34,55,34,34,34,34,66,66,34,0,0,-11,0,0,0,0,0,0,0,3,10,3,10,10,10,10,5,3,10,0,0,3,0,0,0,0,0,0,0,5
1,4,Ollie,14,26,42,97,42,22,278,290,306,295,262,286,322,0,299,0,0,0,0,130,292,0,10,0,20,0,0,0,0,20,20,0,66,34,55,34,34,34,34,66,66,34,0,0,-11,0,0,0,0,0,0,0,3,10,3,10,10,10,10,5,3,10,0,0,3,0,0,0,0,0,0,0,5
1,5,Cal,14,26,42,97,42,22,278,290,306,295,262,286,322,0,134,0,0,0,0,130,292,0,10,0,20,0,0,0,0,20,20,0,66,34,55,34,34,34,34,66,66,34,0,0,-11,0,0,0,0,0,0,0,3,10,6,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,5
1,0,Bob,14,26,42,97,42,22,278,290,306,295,262,286,322,0,134,0,0,0,0,130,292,0,10,0,20,0,0,0,0,20,20,0,66,34,55,34,34,34,34,66,66,34,0,0,-11,0,0,0,0,0,0,0,3,10,6,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,5
1,1,Pete,14,26,42,97,42,22,278,290,306,295,262,286,322,0,134,0,0,0,0,130,292,0,10,0,20,0,0,0,0,20,20,0,66,34,55,34,34,34,34,66,66,34,0,0,-11,0,0,0,0,0,0,0,3,10,6,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,5
1,2,Mal,14,26,42,97,42,22,278,290,306,295,262,286,322,0,134,0,0,0,0,130,292,0,10,0,20,0,0,0,0,20,20,0,66,34,55,34,34,34,34,66,66,34,0,0,-11,0,0,0,0,0,0,0,3,10,6,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,5
1,3,Phil,14,26,42,97,42,22,278,290,306,295,262,286,322,0,134,0,0,0,0,130,292,0,10,0,20,0,0,0,0,20,20,0,66,34,55,34,34,34,34,66,66,34,0,0,-11,0,0,0,0,0,0,0,3,10,6,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,5
1,4,Ollie,14,26,42,97,42,22,278,290,306,295,262,286,322,0,134,0,0,0,0,130,292,0,10,0,20,0,0,0,0,20,20,0,66,34,55,34,34,34,34,66,66,34,0,0,-11,0,0,0,0,0,0,0,3,10,6,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,5
1,5,Cal,14,26,42,97,42,22,278,290,306,295,262,286,322,0,134,0,0,0,0,130,292,0,10,0,20,0,0,0,0,20,20,0,66,34,55,34,34,34,34,66,66,34,0,0,-11,0,0,0,0,0,0,0,3,10,6,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,5
2,0,Pennsylvania,14,34,42,99,42,26,278,298,306,297,262,290,322,0,134,0,0,0,0,130,218,0,10,0,20,0,0,0,0,20,20,0,66,34,55,34,34,34,34,66,66,34,0,0,0,0,0,0,0,0,2,0,3,10,6,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,5
2,1,Baltimore & Ohio,14,34,42,99,42,26,278,298,306,297,262,290,272,0,134,0,0,0,0,130,218,0,10,0,20,0,0,0,0,20,20,0,66,34,55,34,34,34,34,66,66,34,0,0,0,0,0,0,0,0,2,0,3,10,6,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,5
2,2,New York New Haven & Hartford,14,34,54,102,42,26,278,298,350,308,262,290,272,0,134,0,0,0,0,55,218,0,10,0,20,0,0,0,0,30,20,0,66,34,55,34,34,34,34,74,66,34,0,0,0,0,0,0,0,11,2,0,3,10,6,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,6
2,3,Chesapeake & Ohio,14,34,54,102,50,26,278,298,350,308,270,290,272,0,136,0,0,0,0,55,218,0,10,0,20,0,0,0,0,30,20,0,66,34,55,34,34,34,34,74,66,34,0,0,2,0,0,0,0,11,2,0,3,10,6,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,6
3,0,New York New Haven & Hartford,14,34,70,106,50,26,278,298,398,320,270,290,272,0,136,0,0,0,0,75,218,0,10,0,20,0,0,0,0,40,20,0,66,34,55,34,34,34,34,82,66,34,0,0,0,0,0,0,0,12,0,0,3,10,6,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,6
3,1,Pennsylvania,14,58,70,112,50,38,278,354,398,334,270,318,272,0,136,0,0,0,0,75,236,0,10,0,20,0,0,0,0,40,60,0,66,34,55,34,34,34,34,82,74,34,0,0,0,0,0,0,0,12,14,0,3,10,6,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,6
3,2,Baltimore & Ohio,34,58,70,117,50,48,330,354,398,347,270,344,287,0,136,0,0,0,0,75,236,0,50,0,20,0,0,0,0,40,60,0,74,34,55,34,34,34,34,82,74,34,13,0,0,0,0,0,0,12,14,0,3,10,6,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,6
3,3,Chesapeake & Ohio,34,58,70,117,62,48,330,354,398,347,302,344,287,0,24,0,0,0,0,75,236,0,50,0,30,0,0,0,0,40,60,0,74,34,60,34,34,34,34,82,74,34,13,0,8,0,0,0,0,12,14,0,3,10,6,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,7
1,0,Bob,34,58,70,117,62,48,330,354,398,347,302,344,287,0,24,0,0,0,0,75,236,0,50,0,30,0,0,0,0,40,60,0,74,34,60,34,34,34,34,82,74,34,0,0,0,0,0,0,0,0,0,0,3,10,6,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,7
1,1,Phil,34,58,70,117,62,48,330,354,398,347,302,344,287,0,24,0,0,0,0,75,236,0,50,0,30,0,0,0,0,40,60,0,74,34,60,34,34,34,34,82,74,34,0,0,0,0,0,0,0,0,0,0,3,10,6,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,7
1,2,Pete,34,58,70,117,62,48,330,354,398,347,302,344,287,0,24,0,0,0,0,75,236,0,50,0,30,0,0,0,0,40,60,0,74,34,60,34,34,34,34,82,74,34,0,0,0,0,0,0,0,0,0,0,3,10,6,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,7
1,3,Cal,34,58,70,117,2,48,330,354,398,347,302,344,287,0,84,0,0,0,0,75,236,0,50,0,30,0,0,0,0,40,60,0,74,34,60,34,34,34,34,82,74,34,0,0,0,0,0,0,0,0,0,0,3,10,5,10,10,10,10,5,3,10,0,0,0,0,0,0,0,0,0,0,7
1,4,Ollie,34,58,176,117,2,48,330,354,398,339,302,344,287,0,84,0,0,0,0,75,458,0,50,0,30,0,0,0,0,40,60,0,74,34,60,34,34,34,34,74,74,34,0,0,0,0,0,0,0,-8,0,0,3,10,5,10,10,10,10,5,0,10,0,0,0,0,0,0,0,4,0,0,7
1,5,Mal,34,58,176,11,2,48,330,322,374,339,302,328,287,0,264,0,0,0,0,75,458,0,50,0,30,0,0,0,0,40,60,0,74,34,60,34,34,34,34,74,66,34,0,0,0,0,0,0,0,-8,-8,0,3,10,2,10,10,10,10,5,0,10,0,0,0,0,0,0,0,4,1,0,7
1,0,Bob,34,58,176,11,2,48,330,322,374,339,302,328,287,0,264,0,0,0,0,75,458,0,50,0,30,0,0,0,0,40,60,0,74,34,60,34,34,34,34,74,66,34,0,0,0,0,0,0,0,-8,-8,0,3,10,2,10,10,10,10,5,0,10,0,0,0,0,0,0,0,4,1,0,7
1,1,Phil,34,58,176,11,2,48,330,322,374,339,302,328,287,0,264,0,0,0,0,75,458,0,50,0,30,0,0,0,0,40,60,0,74,34,60,34,34,34,34,74,66,34,0,0,0,0,0,0,0,-8,-8,0,3,10,2,10,10,10,10,5,0,10,0,0,0,0,0,0,0,4,1,0,7
1,2,Pete,34,58,176,11,2,48,330,322,374,339,302,328,287,0,264,0,0,0,0,75,392,0,50,0,30,0,0,0,0,40,60,0,74,34,60,34,34,34,34,74,66,34,0,0,0,0,0,0,0,-8,-8,0,3,10,2,10,10,10,10,5,1,10,0,0,0,0,0,0,0,4,0,0,7
1,3,Cal,34,58,176,11,2,48,330,322,374,339,302,328,287,0,264,0,0,0,0,75,392,0,50,0,30,0,0,0,0,40,60,0,74,34,60,34,34,34,34,74,66,34,0,0,0,0,0,0,0,-8,-8,0,3,10,2,10,10,10,10,5,1,10,0,0,0,0,0,0,0,4,0,0,7
1,4,Ollie,34,58,110,11,2,48,330,322,374,339,302,328,287,0,264,0,0,0,0,75,458,0,50,0,30,0,0,0,0,40,60,0,74,34,60,34,34,34,34,74,66,34,0,0,0,0,0,0,0,-8,-8,0,3,10,2,10,10,10,10,5,0,10,0,0,0,0,0,0,0,4,0,0,7
1,5,Mal,34,58,110,11,2,48,330,322,374,339,302,328,287,0,264,0,0,0,0,75,458,0,50,0,30,0,0,0,0,40,60,0,74,34,60,34,34,34,34,74,66,34,0,0,0,0,0,0,0,-8,-8,0,3,10,2,10,10,10,10,5,0,10,0,0,0,0,0,0,0,4,0,0,7
1,0,Bob,34,58,110,11,2,48,330,322,374,339,302,328,287,0,264,0,0,0,0,75,458,0,50,0,30,0,0,0,0,40,60,0,74,34,60,34,34,34,34,74,66,34,0,0,0,0,0,0,0,-8,-8,0,3,10,2,10,10,10,10,5,0,10,0,0,0,0,0,0,0,4,0,0,7
1,1,Phil,34,58,110,11,2,48,330,322,374,339,302,328,287,0,264,0,0,0,0,75,458,0,50,0,30,0,0,0,0,40,60,0,74,34,60,34,34,34,34,74,66,34,0,0,0,0,0,0,0,-8,-8,0,3,10,2,10,10,10,10,5,0,10,0,0,0,0,0,0,0,4,0,0,7
1,2,Pete,34,58,110,11,2,48,330,322,374,339,302,328,287,0,264,0,0,0,0,75,458,0,50,0,30,0,0,0,0,40,60,0,74,34,60,34,34,34,34,74,66,34,0,0,0,0,0,0,0,-8,-8,0,3,10,2,10,10,10,10,5,0,10,0,0,0,0,0,0,0,4,0,0,7
