Name,a,Quin,w,Done#,
Cash,190,247,140,
Baltimore & Ohio,3,1,2,
Boston & Maine,3,1,0,
Chesapeake & Ohio,0,0,6,
Illinois Central,0,0,0,
Erie,0,0,0,
New York Central,2,2,0,
Nickel Plate,0,0,0,
New York New Haven & Hartford,0,0,4,
Pennsylvania,0,0,0,
Wabash,0,0,0,
Baltimore & Ohio,0,0,1,
Boston & Maine,0,0,0,
Chesapeake & Ohio,0,0,0,
Illinois Central,0,0,0,
Erie,0,0,0,
New York Central,0,0,0,
Nickel Plate,0,0,0,
New York New Haven & Hartford,0,0,0,
Pennsylvania,0,0,0,
Wabash,0,0,0,
Names,Baltimore & Ohio,Boston & Maine,Chesapeake & Ohio,Illinois Central,Erie,New York Central,Nickel Plate,New York New Haven & Hartford,Pennsylvania,Wabash,
Cash, 445,264,180,0,0,264,0,220,0,0,
NetProfit,0,0,0,0,0,0,0,0,0,0,
Valuation, 2,7,6,0,0,7,0,5,0,0,
President, 0,0,2,6,6,1,6,2,6,6,
Shares, 1,6,7,10,10,6,10,6,10,10,
Orphans, 3,0,0,0,0,0,0,0,0,0,
Started, 1,1,1,0,0,1,0,1,0,0,
Reship, 0,0,0,0,0,0,0,0,0,0,
TurnOrder, 4,0,2,5,6,1,7,3,8,9,
011AD250,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD278,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD2A0,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD2C8,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD2F0,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD318,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD340,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD368,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD390,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD3B8,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD3E0,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD408,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD430,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD458,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD480,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD4A8,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD4D0,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD4F8,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD520,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD548,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD570,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD598,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD5C0,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD5E8,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD610,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD638,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD660,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD688,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD6B0,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD6D8,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD700,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD728,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD750,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD778,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD7A0,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
011AD7C8,Coal1,Coal2,Coal3,Coal4,Coal5,(,,,,,
011AD7F0,Coal1,Coal2,Coal3,Coal4,Coal5,(,,,,,
011AD818,Coal1,Coal2,Coal3,Coal4,Coal5,(,,,,,
011AD840,Coal1,Coal2,Coal3,Coal4,Coal5,(,,,,,
011AD868,Coal1,Coal2,Coal3,Coal4,Coal5,(,,,,,
1,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,
5,0,0,0,0,0,0,0,0,0,0,
6,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,
9,0,0,0,0,0,0,0,0,0,0,
10,0,0,0,0,0,0,0,0,0,0,
11,0,0,0,0,0,0,0,0,0,0,
12,0,0,0,0,0,0,0,0,0,0,
13,0,0,0,0,0,0,0,0,0,0,
14,0,0,0,0,0,0,0,0,0,0,
15,0,0,0,0,0,0,0,0,0,0,
16,0,0,0,0,0,0,0,0,0,0,
17,0,0,0,0,0,0,0,0,0,0,
18,0,0,0,0,0,0,0,0,0,0,
19,0,0,0,0,0,0,0,0,0,0,
20,0,0,0,0,0,0,0,0,0,0,
21,0,0,0,0,0,0,0,0,0,0,
22,0,0,0,0,0,0,0,0,0,0,
23,0,0,0,0,0,0,0,0,0,0,
24,0,0,0,0,0,0,0,0,0,0,
25,0,0,0,0,0,0,0,0,0,0,
26,0,0,0,0,0,0,0,0,0,0,
27,0,0,0,0,0,0,0,0,0,0,
28,0,0,0,0,0,0,0,0,0,0,
29,0,0,0,0,0,0,0,0,0,0,
30,0,0,0,0,0,0,0,0,0,0,
Round,1, 
Turn,1, 
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
