Name,a,b,c,Done#,
Cash,91,194,31,
Baltimore & Ohio,0,0,7,
Boston & Maine,1,0,0,
Chesapeake & Ohio,10,0,0,
Illinois Central,0,0,10,
Erie,0,10,0,
New York Central,0,1,6,
Nickel Plate,0,0,0,
New York New Haven & Hartford,7,0,0,
Pennsylvania,3,3,2,
Wabash,0,0,0,
Baltimore & Ohio,0,0,0,
Boston & Maine,0,0,0,
Chesapeake & Ohio,0,0,0,
Illinois Central,0,0,0,
Erie,0,0,0,
New York Central,0,0,0,
Nickel Plate,0,0,0,
New York New Haven & Hartford,0,0,0,
Pennsylvania,0,0,0,
Wabash,0,0,0,
Names,Baltimore & Ohio,Boston & Maine,Chesapeake & Ohio,Illinois Central,Erie,New York Central,Nickel Plate,New York New Haven & Hartford,Pennsylvania,Wabash,
Cash, 21,63,685,740,820,588,0,462,285,0,
NetProfit,100,180,70,0,0,100,0,0,80,0,
Valuation, 6,11,12,8,9,5,0,7,9,0,
President, 2,0,0,2,1,2,6,0,1,6,
Shares, 2,1,0,0,0,3,10,3,2,10,
Orphans, 1,8,0,0,0,0,0,0,0,0,
Started, 1,1,1,1,1,1,0,1,1,0,
Reship, 0,0,0,0,0,0,0,0,0,0,
TurnOrder, 6,1,0,4,3,7,8,5,2,9,
Albany,0,0,0,0,0,1,0,0,0,0,
Augusta,0,0,0,0,0,0,0,0,0,0,
Baltimore,1,0,1,0,0,0,0,0,0,0,
Boston,0,1,0,0,0,1,0,0,0,0,
Buffalo,0,0,0,0,0,1,0,0,0,0,
Burlington,1,0,0,0,0,0,0,0,0,0,
Cairo,0,0,0,0,0,0,0,0,1,0,
Chicago,0,1,0,0,0,0,0,0,0,0,
Cincinnati,0,0,1,0,0,0,0,0,0,0,
Cleveland,1,1,1,0,0,1,0,0,1,0,
Concord,1,0,0,0,0,0,0,0,0,0,
Detroit,0,0,1,0,0,1,0,0,1,0,
Dover,0,0,0,0,0,0,0,0,0,0,
FortWayne,0,1,0,0,0,0,0,0,0,0,
Harrisburg,1,0,0,0,0,0,0,0,1,0,
Hartford,1,1,0,0,0,0,0,0,0,0,
Hunington,0,0,1,0,0,0,0,0,0,0,
Indainapolis,0,0,0,0,0,0,0,0,1,0,
Lexington,0,0,0,0,0,0,0,0,1,0,
Lousiville,0,0,0,0,0,0,0,0,1,0,
NewHaven,0,1,0,0,0,0,0,0,0,0,
NewYork,1,1,0,0,0,1,0,0,0,0,
Norfolk,0,0,0,0,0,0,0,0,0,0,
Philadelphia,1,0,0,0,0,1,0,0,1,0,
Pittsburg,1,1,1,0,0,0,0,0,1,0,
Portsmouth,0,0,0,0,0,0,0,0,0,0,
Provience,0,1,0,0,0,0,0,0,0,0,
Richmond,0,0,1,0,0,0,0,0,0,0,
Roanoke,0,0,1,0,0,0,0,0,0,0,
SaintLouis,0,0,0,0,0,0,0,0,1,0,
Springfield,0,0,0,0,0,0,0,0,1,0,
Syracuse,0,0,0,0,0,1,0,0,0,0,
Utica,0,0,0,0,0,1,0,0,0,0,
Washington,1,0,1,0,0,0,0,0,0,0,
Wheeling,1,0,1,0,0,0,0,0,0,0,
Coal1,0,0,0,0,0,0,0,0,0,0,
Coal2,1,0,0,0,0,0,0,0,0,0,
Coal3,1,0,0,0,0,0,0,0,0,0,
Coal4,0,0,0,0,0,0,0,0,0,0,
Coal5,0,0,0,0,0,0,0,0,0,0,
1,0,-1,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,-1,0,0,0,0,
3,-1,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,-1,0,0,0,0,
5,1,0,0,0,0,0,0,0,0,0,
6,0,-1,0,0,0,0,0,0,0,0,
7,0,0,0,0,0,1,0,0,0,0,
8,1,0,0,0,0,0,0,0,0,0,
9,0,0,0,0,0,0,0,0,1,0,
10,0,-1,0,0,0,0,0,0,0,0,
11,0,1,0,0,0,0,0,0,0,0,
12,0,0,0,0,0,1,0,0,0,0,
13,0,1,0,0,0,0,0,0,0,0,
14,0,0,0,0,0,0,0,0,1,0,
15,0,0,1,0,0,0,0,0,0,0,
16,0,0,0,0,0,0,0,0,0,0,
17,0,0,0,0,0,0,0,0,0,0,
18,0,0,0,0,0,0,0,0,0,0,
19,0,0,0,0,0,0,0,0,0,0,
20,0,0,0,0,0,0,0,0,0,0,
21,0,0,0,0,0,0,0,0,0,0,
22,0,0,0,0,0,0,0,0,0,0,
23,0,0,0,0,0,0,0,0,0,0,
24,0,0,0,0,0,0,0,0,0,0,
25,0,0,0,0,0,0,0,0,0,0,
26,0,0,0,0,0,0,0,0,0,0,
27,0,0,0,0,0,0,0,0,0,0,
28,0,0,0,0,0,0,0,0,0,0,
29,0,0,0,0,0,0,0,0,0,0,
30,0,0,0,0,0,0,0,0,0,0,
Round,2, 
Turn,2, 
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
