Name,Bob,Pete,Cal,Nan,Done#,
Cash,1390,1047,1171,1396,
Baltimore & Ohio,9,0,0,1,
Boston & Maine,0,0,5,1,
Chesapeake & Ohio,0,0,10,0,
Illinois Central,1,9,0,0,
Erie,0,0,0,10,
New York Central,0,0,0,10,
Nickel Plate,9,0,1,0,
New York New Haven & Hartford,0,0,0,0,
Pennsylvania,0,10,0,0,
Wabash,0,7,0,0,
Baltimore & Ohio,0,0,0,0,
Boston & Maine,0,0,0,0,
Chesapeake & Ohio,0,0,0,0,
Illinois Central,0,0,0,0,
Erie,0,0,0,0,
New York Central,0,0,0,0,
Nickel Plate,0,0,0,0,
New York New Haven & Hartford,0,0,0,0,
Pennsylvania,0,0,0,0,
Wabash,0,0,0,0,
Names,Baltimore & Ohio,Boston & Maine,Chesapeake & Ohio,Illinois Central,Erie,New York Central,Nickel Plate,New York New Haven & Hartford,Pennsylvania,Wabash,
Cash, 263,218,15,271,185,16,141,0,29,33,
NetProfit,470,220,480,210,340,320,300,0,350,50,
Valuation, 16,10,18,12,13,18,14,0,17,9,
President, 0,2,2,1,3,3,0,6,1,1,
Shares, 0,4,0,0,0,0,0,10,0,3,
Orphans, 0,0,0,0,0,0,0,0,0,0,
Started, 1,1,1,1,1,1,1,0,1,1,
Reship, 0,0,0,0,0,0,0,0,0,0,
TurnOrder, 3,7,1,6,5,0,4,9,2,8,
Albany,0,0,0,0,0,1,0,0,0,0,
Augusta,0,0,0,0,0,0,0,0,0,0,
Baltimore,1,1,1,0,1,0,0,0,0,0,
Boston,0,1,0,0,0,0,0,0,0,0,
Buffalo,0,0,0,0,1,1,0,0,0,0,
Burlington,0,0,0,0,0,0,0,0,0,0,
Cairo,0,0,0,0,0,0,0,0,0,0,
Chicago,1,0,1,1,0,1,1,0,1,0,
Cincinnati,0,0,1,0,0,0,0,0,0,0,
Cleveland,1,0,0,0,1,1,1,0,1,0,
Concord,0,0,0,0,0,0,0,0,0,0,
Detroit,1,0,0,0,1,1,1,0,1,0,
Dover,0,0,0,0,0,0,0,0,0,0,
FortWayne,1,0,1,0,0,1,1,0,1,1,
Harrisburg,0,0,0,0,0,0,0,0,1,0,
Hartford,0,1,0,0,0,0,0,0,0,0,
Hunington,0,0,1,0,0,0,0,0,0,0,
Indainapolis,1,0,1,0,0,1,1,0,1,1,
Lexington,0,0,0,0,0,0,0,0,0,0,
Lousiville,0,0,1,1,0,0,0,0,0,0,
NewHaven,0,1,0,0,0,0,0,0,0,0,
NewYork,1,1,1,0,1,1,0,0,1,0,
Norfolk,0,0,0,0,0,0,0,0,0,0,
Philadelphia,1,1,1,0,1,0,0,0,1,0,
Pittsburg,0,0,0,0,0,0,0,0,1,0,
Portsmouth,0,0,0,0,0,0,0,0,0,0,
Provience,0,0,0,0,0,0,0,0,0,0,
Richmond,0,0,1,0,0,0,0,0,0,0,
Roanoke,0,0,0,0,0,0,0,0,0,0,
SaintLouis,0,0,0,1,0,0,0,0,0,0,
Springfield,0,0,0,1,0,0,0,0,0,0,
Syracuse,0,0,0,0,1,1,0,0,0,0,
Utica,0,0,0,0,1,1,0,0,0,0,
Washington,0,0,1,0,0,0,0,0,0,0,
Wheeling,1,0,0,0,0,0,0,0,0,0,
Coal1,0,0,0,0,0,0,0,0,0,0,
Coal2,1,0,0,0,0,0,0,0,0,0,
Coal3,1,0,0,0,0,0,0,0,0,0,
Coal4,0,0,1,0,0,0,0,0,0,0,
Coal5,0,0,1,0,0,0,0,0,0,0,
1,0,0,-1,0,0,0,0,0,0,0,
2,-1,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,-1,0,
4,0,0,0,0,0,-1,0,0,0,0,
5,0,0,0,0,0,-1,0,0,0,0,
6,0,0,0,0,0,-1,0,0,0,0,
7,0,0,-1,0,0,0,0,0,0,0,
8,0,0,0,0,0,1,0,0,0,0,
9,0,0,0,0,0,0,0,0,-1,0,
10,0,0,0,0,0,1,0,0,0,0,
11,0,0,0,0,0,0,0,0,1,0,
12,1,0,0,0,0,0,0,0,0,0,
13,0,0,0,0,0,0,0,0,1,0,
14,0,0,1,0,0,0,0,0,0,0,
15,0,0,0,0,0,1,0,0,0,0,
16,1,0,0,0,0,0,0,0,0,0,
17,0,0,0,0,0,0,-1,0,0,0,
18,0,0,0,0,1,0,0,0,0,0,
19,0,0,0,-1,0,0,0,0,0,0,
20,0,0,-1,0,0,0,0,0,0,0,
21,0,0,1,0,0,0,0,0,0,0,
22,0,0,0,0,0,0,-1,0,0,0,
23,0,0,0,0,1,0,0,0,0,0,
24,0,0,0,1,0,0,0,0,0,0,
25,0,1,0,0,0,0,0,0,0,0,
26,0,0,0,0,0,0,0,0,0,1,
27,0,0,0,0,0,0,1,0,0,0,
28,0,0,0,0,0,0,0,0,0,0,
29,0,0,0,0,0,0,0,0,0,0,
30,0,0,0,0,0,0,0,0,0,0,
Round,3, 
Turn,8, 
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
