Name,NYC,P.D.,Mix,Malvoy,Jack,Jill,Done#,
Cash,770,792,1112,944,871,1030,
Baltimore & Ohio,0,0,0,0,5,5,
Boston & Maine,1,1,4,4,0,0,
Chesapeake & Ohio,0,0,0,10,0,0,
Illinois Central,0,0,0,0,0,7,
Erie,0,8,2,0,0,0,
New York Central,6,0,4,0,0,0,
Nickel Plate,0,5,5,0,0,0,
New York New Haven & Hartford,0,0,0,0,0,0,
Pennsylvania,1,0,3,0,2,4,
Wabash,0,0,0,0,8,0,
Baltimore & Ohio,0,0,0,0,0,0,
Boston & Maine,0,0,0,0,0,0,
Chesapeake & Ohio,0,0,0,0,0,0,
Illinois Central,0,0,0,0,0,0,
Erie,0,0,0,0,0,0,
New York Central,0,0,0,0,0,0,
Nickel Plate,0,0,0,0,0,0,
New York New Haven & Hartford,0,0,0,0,0,0,
Pennsylvania,0,0,0,0,0,0,
Wabash,0,0,0,0,0,0,
Names,Baltimore & Ohio,Boston & Maine,Chesapeake & Ohio,Illinois Central,Erie,New York Central,Nickel Plate,New York New Haven & Hartford,Pennsylvania,Wabash,
Cash, 217,682,59,347,120,108,173,0,148,272,
NetProfit,320,190,410,330,270,420,300,0,410,240,
Valuation, 14,9,12,11,11,12,11,0,13,11,
President, 5,3,3,5,1,0,1,6,5,4,
Shares, 0,0,0,3,0,0,0,10,0,2,
Orphans, 0,0,0,0,0,0,0,0,0,0,
Started, 1,1,1,1,1,1,1,0,1,1,
Reship, 0,0,0,0,0,0,0,0,0,0,
TurnOrder, 0,8,3,7,4,2,6,9,1,5,
Albany,0,0,0,0,0,1,0,0,0,0,
Augusta,0,0,0,0,0,0,0,0,0,0,
Baltimore,1,1,1,0,0,0,0,0,0,0,
Boston,0,1,1,0,0,0,0,0,0,0,
Buffalo,0,0,0,0,1,1,0,0,0,0,
Burlington,0,0,0,0,0,0,0,0,0,0,
Cairo,0,0,0,0,0,0,0,0,0,0,
Chicago,0,0,0,1,1,1,1,0,1,1,
Cincinnati,1,0,0,0,0,0,0,0,0,0,
Cleveland,1,0,0,1,1,1,1,0,1,0,
Concord,0,0,0,0,0,0,0,0,0,0,
Detroit,1,0,0,1,0,1,1,0,1,1,
Dover,0,0,0,0,0,0,0,0,0,0,
FortWayne,1,0,0,1,0,1,1,0,1,1,
Harrisburg,0,0,0,0,0,0,0,0,1,0,
Hartford,0,1,1,0,0,0,0,0,0,0,
Hunington,0,0,1,0,0,0,0,0,0,0,
Indainapolis,1,0,0,0,0,1,1,0,1,1,
Lexington,0,0,0,0,0,0,0,0,0,0,
Lousiville,0,0,0,0,0,0,0,0,0,0,
NewHaven,0,1,1,0,0,0,0,0,0,0,
NewYork,1,1,1,0,0,1,0,0,1,0,
Norfolk,0,0,0,0,0,0,0,0,0,0,
Philadelphia,1,1,1,0,0,1,0,0,1,0,
Pittsburg,1,0,1,0,1,1,0,0,1,0,
Portsmouth,0,0,0,0,0,0,0,0,0,0,
Provience,0,0,0,0,0,0,0,0,0,0,
Richmond,0,0,1,0,0,0,0,0,0,0,
Roanoke,0,0,0,0,0,0,0,0,0,0,
SaintLouis,0,0,0,1,0,0,0,0,0,0,
Springfield,0,0,0,1,0,0,0,0,0,0,
Syracuse,0,0,0,0,1,1,0,0,0,0,
Utica,0,0,0,0,0,1,0,0,0,0,
Washington,1,0,1,0,0,0,0,0,0,0,
Wheeling,0,0,1,0,1,0,0,0,0,0,
Coal1,1,0,0,0,0,0,0,0,1,0,
Coal2,1,0,0,0,0,0,0,0,0,0,
Coal3,0,0,1,0,0,0,0,0,0,0,
Coal4,0,0,1,0,0,0,0,0,0,0,
Coal5,0,0,1,0,0,0,0,0,0,0,
1,0,0,0,0,0,-1,0,0,0,0,
2,0,0,0,0,0,0,0,0,-1,0,
3,-1,0,0,0,0,0,0,0,0,0,
4,0,-1,0,0,0,0,0,0,0,0,
5,0,0,0,0,0,-1,0,0,0,0,
6,1,0,0,0,0,0,0,0,0,0,
7,0,-1,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,-1,0,0,0,0,
9,0,0,0,0,0,0,0,0,-1,0,
10,0,-1,0,0,0,0,0,0,0,0,
11,0,0,1,0,0,0,0,0,0,0,
12,0,0,0,0,0,0,0,0,-1,0,
13,0,-1,0,0,0,0,0,0,0,0,
14,1,0,0,0,0,0,0,0,0,0,
15,0,0,0,0,0,0,0,0,1,0,
16,0,0,0,0,0,0,-1,0,0,0,
17,0,0,0,0,0,1,0,0,0,0,
18,0,0,0,0,0,0,0,0,1,0,
19,0,0,0,0,0,1,0,0,0,0,
20,0,0,0,0,0,0,0,0,0,-1,
21,0,0,0,0,1,0,0,0,0,0,
22,0,0,1,0,0,0,0,0,0,0,
23,0,0,0,0,0,0,-1,0,0,0,
24,0,0,0,1,0,0,0,0,0,0,
25,0,1,0,0,0,0,0,0,0,0,
26,0,0,0,0,0,0,0,0,0,1,
27,0,0,0,0,0,0,1,0,0,0,
28,0,0,0,0,0,0,0,0,0,0,
29,0,0,0,0,0,0,0,0,0,0,
30,0,0,0,0,0,0,0,0,0,0,
Round,3, 
Turn,8, 
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
