Name,008BD040,008BD068,008BD090,008BD0B8,Done#,
Cash,315,375,375,375,
008BD900,1,0,0,0,
008BD946,0,0,0,0,
008BD98C,0,0,0,0,
008BD9D2,0,0,0,0,
008BDA18,0,0,0,0,
008BDA5E,0,0,0,0,
008BDAA4,0,0,0,0,
008BDAEA,0,0,0,0,
008BDB30,0,0,0,0,
008BDB76,0,0,0,0,
008BD900,0,0,0,0,
008BD946,0,0,0,0,
008BD98C,0,0,0,0,
008BD9D2,0,0,0,0,
008BDA18,0,0,0,0,
008BDA5E,0,0,0,0,
008BDAA4,0,0,0,0,
008BDAEA,0,0,0,0,
008BDB30,0,0,0,0,
008BDB76,0,0,0,0,
Names,008BD900,008BD946,008BD98C,008BD9D2,008BDA18,008BDA5E,008BDAA4,008BDAEA,008BDB30,008BDB76,
Cash, 60,0,0,0,0,0,0,0,0,0,
NetProfit,0,0,0,0,0,0,0,0,0,0,
Valuation, 6,0,0,0,0,0,0,0,0,0,
President, 0,6,6,6,6,6,6,6,6,6,
Shares, 9,10,10,10,10,10,10,10,10,10,
Orphans, 0,0,0,0,0,0,0,0,0,0,
Started, 1,0,0,0,0,0,0,0,0,0,
Reship, 0,0,0,0,0,0,0,0,0,0,
TurnOrder, 0,1,2,3,4,5,6,7,8,9,
Albany,0,0,0,0,0,0,0,0,0,0,
Augusta,0,0,0,0,0,0,0,0,0,0,
Baltimore,0,0,0,0,0,0,0,0,0,0,
Boston,0,0,0,0,0,0,0,0,0,0,
Buffalo,0,0,0,0,0,0,0,0,0,0,
Burlington,0,0,0,0,0,0,0,0,0,0,
Cairo,0,0,0,0,0,0,0,0,0,0,
Chicago,0,0,0,0,0,0,0,0,0,0,
Cincinnati,0,0,0,0,0,0,0,0,0,0,
Cleveland,0,0,0,0,0,0,0,0,0,0,
Concord,0,0,0,0,0,0,0,0,0,0,
Detroit,0,0,0,0,0,0,0,0,0,0,
Dover,0,0,0,0,0,0,0,0,0,0,
FortWayne,0,0,0,0,0,0,0,0,0,0,
Harrisburg,0,0,0,0,0,0,0,0,0,0,
Hartford,0,0,0,0,0,0,0,0,0,0,
Hunington,0,0,0,0,0,0,0,0,0,0,
Indainapolis,0,0,0,0,0,0,0,0,0,0,
Lexington,0,0,0,0,0,0,0,0,0,0,
Lousiville,0,0,0,0,0,0,0,0,0,0,
NewHaven,0,0,0,0,0,0,0,0,0,0,
NewYork,0,0,0,0,0,0,0,0,0,0,
Norfolk,0,0,0,0,0,0,0,0,0,0,
Philadelphia,0,0,0,0,0,0,0,0,0,0,
Pittsburg,0,0,0,0,0,0,0,0,0,0,
Portsmouth,0,0,0,0,0,0,0,0,0,0,
Provience,0,0,0,0,0,0,0,0,0,0,
Richmond,0,0,0,0,0,0,0,0,0,0,
Roanoke,0,0,0,0,0,0,0,0,0,0,
SaintLouis,0,0,0,0,0,0,0,0,0,0,
Springfield,0,0,0,0,0,0,0,0,0,0,
Syracuse,0,0,0,0,0,0,0,0,0,0,
Utica,0,0,0,0,0,0,0,0,0,0,
Washington,0,0,0,0,0,0,0,0,0,0,
Wheeling,0,0,0,0,0,0,0,0,0,0,
Coal1,0,0,0,0,0,0,0,0,0,0,
Coal2,0,0,0,0,0,0,0,0,0,0,
Coal3,0,0,0,0,0,0,0,0,0,0,
Coal4,0,0,0,0,0,0,0,0,0,0,
Coal5,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,
5,0,0,0,0,0,0,0,0,0,0,
6,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,
9,0,0,0,0,0,0,0,0,0,0,
10,0,0,0,0,0,0,0,0,0,0,
11,0,0,0,0,0,0,0,0,0,0,
12,0,0,0,0,0,0,0,0,0,0,
13,0,0,0,0,0,0,0,0,0,0,
14,0,0,0,0,0,0,0,0,0,0,
15,0,0,0,0,0,0,0,0,0,0,
16,0,0,0,0,0,0,0,0,0,0,
17,0,0,0,0,0,0,0,0,0,0,
18,0,0,0,0,0,0,0,0,0,0,
19,0,0,0,0,0,0,0,0,0,0,
20,0,0,0,0,0,0,0,0,0,0,
21,0,0,0,0,0,0,0,0,0,0,
22,0,0,0,0,0,0,0,0,0,0,
23,0,0,0,0,0,0,0,0,0,0,
24,0,0,0,0,0,0,0,0,0,0,
25,0,0,0,0,0,0,0,0,0,0,
26,0,0,0,0,0,0,0,0,0,0,
27,0,0,0,0,0,0,0,0,0,0,
28,0,0,0,0,0,0,0,0,0,0,
29,0,0,0,0,0,0,0,0,0,0,
30,0,0,0,0,0,0,0,0,0,0,
Round,1, 
Turn,0, 
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
