Name,Nell,Bob,Pete,Malvoy,Done#,
Cash,2278,2513,2697,3151,
Baltimore & Ohio,2,8,0,0,
Boston & Maine,1,6,1,2,
Chesapeake & Ohio,0,0,4,6,
Illinois Central,2,2,3,3,
Erie,0,0,0,10,
New York Central,7,1,2,0,
Nickel Plate,8,2,0,0,
New York New Haven & Hartford,6,4,0,0,
Pennsylvania,0,0,6,4,
Wabash,4,6,0,0,
Norfolk & Western,0,0,10,0,
Baltimore & Ohio,0,0,0,0,
Boston & Maine,0,0,0,0,
Chesapeake & Ohio,0,0,0,0,
Illinois Central,0,0,0,0,
Erie,0,0,0,0,
New York Central,0,0,0,0,
Nickel Plate,0,0,0,0,
New York New Haven & Hartford,0,0,0,0,
Pennsylvania,0,0,0,0,
Wabash,0,0,0,0,
Norfolk & Western,0,0,0,0,
Names,Baltimore & Ohio,Boston & Maine,Chesapeake & Ohio,Illinois Central,Erie,New York Central,Nickel Plate,New York New Haven & Hartford,Pennsylvania,Wabash,Norfolk & Western,
Cash, 92,167,246,210,85,97,25,710,106,250,140,
NetProfit,420,270,290,300,480,500,310,120,390,270,300,
Valuation, 15,16,18,12,14,12,14,12,19,13,14,
President, 1,1,3,2,3,0,0,0,2,1,2,
Shares, 0,0,0,0,0,0,0,0,0,0,0,
Orphans, 0,0,0,0,0,0,0,0,0,0,0,
Started, 1,1,1,1,1,1,1,1,1,1,1,
Reship, 0,0,0,0,0,0,0,0,0,0,0,
TurnOrder, 3,2,1,9,6,10,4,8,0,7,5,
Albany,0,0,0,0,1,1,0,0,0,0,0,
Augusta,0,1,0,0,0,0,0,0,0,0,0,
Baltimore,1,0,1,0,0,1,0,0,0,0,0,
Boston,0,1,0,0,0,0,0,1,0,0,0,
Buffalo,0,0,0,0,1,1,0,0,0,0,0,
Burlington,0,0,0,0,0,0,0,0,0,0,0,
Cairo,0,0,0,0,0,0,0,0,0,0,0,
Chicago,1,0,1,1,0,1,1,0,1,1,0,
Cincinnati,1,0,1,0,0,0,1,0,0,1,0,
Cleveland,1,0,0,1,1,1,1,0,1,0,0,
Concord,0,1,0,0,0,0,0,1,0,0,0,
Detroit,0,0,0,1,1,1,1,0,1,0,0,
Dover,0,0,0,0,0,0,0,0,0,0,0,
FortWayne,0,0,1,0,0,0,1,0,1,1,0,
Harrisburg,0,0,0,0,0,0,0,0,1,0,0,
Hartford,0,1,0,0,0,0,0,1,0,0,0,
Hunington,0,0,1,0,0,0,0,0,0,0,0,
Indainapolis,0,0,1,0,0,0,1,0,1,1,0,
Lexington,0,0,0,0,0,0,0,0,0,0,0,
Lousiville,0,0,0,0,0,0,0,0,0,1,0,
NewHaven,0,1,0,0,0,0,0,1,0,0,0,
NewYork,1,1,1,0,1,1,0,0,1,0,0,
Norfolk,0,0,0,0,0,0,0,0,0,0,0,
Philadelphia,1,0,1,0,1,1,0,0,1,0,0,
Pittsburgh,1,0,0,1,1,0,0,0,1,0,0,
Portsmouth,0,0,0,0,0,0,0,0,0,0,0,
Provience,0,0,0,0,0,0,0,1,0,0,0,
Richmond,0,0,1,0,0,0,0,0,0,0,0,
Roanoke,0,0,1,0,0,0,0,0,0,0,0,
SaintLouis,0,0,1,1,0,0,0,0,0,0,0,
Springfield,0,0,1,1,0,1,0,0,0,0,0,
Syracuse,0,0,0,0,1,1,0,0,0,0,0,
Utica,0,0,0,0,1,1,0,0,0,0,0,
Washington,0,0,1,0,0,0,0,0,0,0,0,
Wheeling,0,0,0,0,1,0,0,0,0,0,0,
Coal1,0,0,0,0,0,0,0,0,1,0,1,
Coal2,1,0,0,0,0,0,0,0,0,0,1,
Coal3,0,0,0,0,0,0,0,0,0,0,1,
Coal4,0,0,1,0,0,0,0,0,0,0,1,
Coal5,0,0,1,0,0,0,0,0,0,0,1,
1,0,0,0,0,0,0,0,0,-1,0,0,
2,-1,0,0,0,0,0,0,0,0,0,0,
3,0,-1,0,0,0,0,0,0,0,0,0,
4,0,-1,0,0,0,0,0,0,0,0,0,
5,0,-1,0,0,0,0,0,0,0,0,0,
6,0,0,0,0,0,0,0,0,1,0,0,
7,-1,0,0,0,0,0,0,0,0,0,0,
8,0,-1,0,0,0,0,0,0,0,0,0,
9,-1,0,0,0,0,0,0,0,0,0,0,
10,0,0,0,0,0,0,0,0,1,0,0,
11,0,0,1,0,0,0,0,0,0,0,0,
