Round,Turn,Entity,a cash,c cash,v cash,a net,c net,v net,Baltimore & Ohio cash,Boston & Maine cash,Chesapeake & Ohio cash,Illinois Central cash,Erie cash,New York Central cash,Nickel Plate cash,New York New Haven & Hartford cash,Pennsylvania cash,Wabash cash,Baltimore & Ohio np,Boston & Maine np,Chesapeake & Ohio np,Illinois Central np,Erie np,New York Central np,Nickel Plate np,New York New Haven & Hartford np,Pennsylvania np,Wabash np,Baltimore & Ohio val,Boston & Maine val,Chesapeake & Ohio val,Illinois Central val,Erie val,New York Central val,Nickel Plate val,New York New Haven & Hartford val,Pennsylvania val,Wabash val,Baltimore & Ohio pps,Boston & Maine pps,Chesapeake & Ohio pps,Illinois Central pps,Erie pps,New York Central pps,Nickel Plate pps,New York New Haven & Hartford pps,Pennsylvania pps,Wabash pps,Baltimore & Ohio sh,Boston & Maine sh,Chesapeake & Ohio sh,Illinois Central sh,Erie sh,New York Central sh,Nickel Plate sh,New York New Haven & Hartford sh,Pennsylvania sh,Wabash sh,Baltimore & Ohio or,Boston & Maine or,Chesapeake & Ohio or,Illinois Central or,Erie or,New York Central or,Nickel Plate or,New York New Haven & Hartford or,Pennsylvania or,Wabash or,Train 
1,0,c,500,80,500,500,500,500,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,34,34,34,34,34,34,34,34,34,0,0,0,0,0,0,0,0,0,0,3,10,10,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,1
1,1,a,200,80,500,500,500,500,420,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,34,60,34,34,34,34,34,34,34,0,0,0,0,0,0,0,0,0,0,3,10,5,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,1
1,2,v,200,80,500,500,500,500,420,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,34,60,34,34,34,34,34,34,34,0,0,0,0,0,0,0,0,0,0,3,10,5,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,1
1,0,c,200,80,500,500,500,500,420,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,34,60,34,34,34,34,34,34,34,0,0,0,0,0,0,0,0,0,0,3,10,5,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,1
1,1,a,200,80,500,500,500,500,420,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,34,60,34,34,34,34,34,34,34,0,0,0,0,0,0,0,0,0,0,3,10,5,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,1
1,2,v,200,80,500,500,500,500,420,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,34,60,34,34,34,34,34,34,34,0,0,0,0,0,0,0,0,0,0,3,10,5,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,1
2,0,Baltimore & Ohio,200,143,500,500,605,500,347,0,300,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,66,34,60,34,34,34,34,34,34,34,15,0,0,0,0,0,0,0,0,0,3,10,5,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,2
2,1,Chesapeake & Ohio,230,143,500,560,605,500,347,0,235,0,0,0,0,0,0,0,90,0,60,0,0,0,0,0,0,0,66,34,66,34,34,34,34,34,34,34,15,0,12,0,0,0,0,0,0,0,3,10,5,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,3
3,0,Baltimore & Ohio,230,206,500,560,668,500,374,0,235,0,0,0,0,0,0,0,90,0,60,0,0,0,0,0,0,0,66,34,66,34,34,34,34,34,34,34,9,0,0,0,0,0,0,0,0,0,3,10,5,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,3
3,1,Chesapeake & Ohio,260,206,500,590,668,500,374,0,265,0,0,0,0,0,0,0,90,0,60,0,0,0,0,0,0,0,66,34,66,34,34,34,34,34,34,34,9,0,6,0,0,0,0,0,0,0,3,10,5,10,10,10,10,10,10,10,0,0,0,0,0,0,0,0,0,0,3
