Name,00F6A878,00F6A8A0,00F6A8C8,Done#,
Cash,379,258,325,
00F6B138,0,0,2,
00F6B17E,1,0,0,
00F6B1C4,0,0,1,
00F6B20A,0,0,0,
00F6B250,0,0,0,
00F6B296,1,2,0,
00F6B2DC,0,0,0,
00F6B322,0,2,0,
00F6B368,0,0,0,
00F6B3AE,0,0,0,
00F6B138,0,0,0,
00F6B17E,0,0,0,
00F6B1C4,0,0,0,
00F6B20A,0,0,0,
00F6B250,0,0,0,
00F6B296,0,0,0,
00F6B2DC,0,0,0,
00F6B322,0,0,0,
00F6B368,0,0,0,
00F6B3AE,0,0,0,
Names,00F6B138,00F6B17E,00F6B1C4,00F6B20A,00F6B250,00F6B296,00F6B2DC,00F6B322,00F6B368,00F6B3AE,
Cash, 120,66,55,0,0,165,0,132,0,0,
NetProfit,0,0,0,0,0,0,0,0,0,0,
Valuation, 6,7,5,0,0,5,0,7,0,0,
President, 2,0,2,6,6,1,6,1,6,6,
Shares, 8,9,9,10,10,7,10,8,10,10,
Orphans, 0,0,0,0,0,0,0,0,0,0,
Started, 1,1,1,0,0,1,0,1,0,0,
Reship, 0,0,0,0,0,0,0,0,0,0,
TurnOrder, 2,0,3,5,6,4,7,1,8,9,
Albany,0,0,0,0,0,0,0,0,0,0,
Augusta,0,0,0,0,0,0,0,0,0,0,
Baltimore,0,0,0,0,0,0,0,0,0,0,
Boston,0,0,0,0,0,0,0,0,0,0,
Buffalo,0,0,0,0,0,0,0,0,0,0,
Burlington,0,0,0,0,0,0,0,0,0,0,
Cairo,0,0,0,0,0,0,0,0,0,0,
Chicago,0,0,0,0,0,0,0,0,0,0,
Cincinnati,0,0,0,0,0,0,0,0,0,0,
Cleveland,0,0,0,0,0,0,0,0,0,0,
Concord,0,0,0,0,0,0,0,0,0,0,
Detroit,0,0,0,0,0,0,0,0,0,0,
Dover,0,0,0,0,0,0,0,0,0,0,
FortWayne,0,0,0,0,0,0,0,0,0,0,
Harrisburg,0,0,0,0,0,0,0,0,0,0,
Hartford,0,0,0,0,0,0,0,0,0,0,
Hunington,0,0,0,0,0,0,0,0,0,0,
Indainapolis,0,0,0,0,0,0,0,0,0,0,
Lexington,0,0,0,0,0,0,0,0,0,0,
Lousiville,0,0,0,0,0,0,0,0,0,0,
NewHaven,0,0,0,0,0,0,0,0,0,0,
NewYork,0,0,0,0,0,0,0,0,0,0,
Norfolk,0,0,0,0,0,0,0,0,0,0,
Philadelphia,0,0,0,0,0,0,0,0,0,0,
Pittsburg,0,0,0,0,0,0,0,0,0,0,
Portsmouth,0,0,0,0,0,0,0,0,0,0,
Provience,0,0,0,0,0,0,0,0,0,0,
Richmond,0,0,0,0,0,0,0,0,0,0,
Roanoke,0,0,0,0,0,0,0,0,0,0,
SaintLouis,0,0,0,0,0,0,0,0,0,0,
Springfield,0,0,0,0,0,0,0,0,0,0,
Syracuse,0,0,0,0,0,0,0,0,0,0,
Utica,0,0,0,0,0,0,0,0,0,0,
Washington,0,0,0,0,0,0,0,0,0,0,
Wheeling,0,0,0,0,0,0,0,0,0,0,
Coal1,0,0,0,0,0,0,0,0,0,0,
Coal2,0,0,0,0,0,0,0,0,0,0,
Coal3,0,0,0,0,0,0,0,0,0,0,
Coal4,0,0,0,0,0,0,0,0,0,0,
Coal5,0,0,0,0,0,0,0,0,0,0,
1,0,0,0,0,0,0,0,0,0,0,
2,0,0,0,0,0,0,0,0,0,0,
3,0,0,0,0,0,0,0,0,0,0,
4,0,0,0,0,0,0,0,0,0,0,
5,0,0,0,0,0,0,0,0,0,0,
6,0,0,0,0,0,0,0,0,0,0,
7,0,0,0,0,0,0,0,0,0,0,
8,0,0,0,0,0,0,0,0,0,0,
9,0,0,0,0,0,0,0,0,0,0,
10,0,0,0,0,0,0,0,0,0,0,
11,0,0,0,0,0,0,0,0,0,0,
12,0,0,0,0,0,0,0,0,0,0,
13,0,0,0,0,0,0,0,0,0,0,
14,0,0,0,0,0,0,0,0,0,0,
15,0,0,0,0,0,0,0,0,0,0,
16,0,0,0,0,0,0,0,0,0,0,
17,0,0,0,0,0,0,0,0,0,0,
18,0,0,0,0,0,0,0,0,0,0,
19,0,0,0,0,0,0,0,0,0,0,
20,0,0,0,0,0,0,0,0,0,0,
21,0,0,0,0,0,0,0,0,0,0,
22,0,0,0,0,0,0,0,0,0,0,
23,0,0,0,0,0,0,0,0,0,0,
24,0,0,0,0,0,0,0,0,0,0,
25,0,0,0,0,0,0,0,0,0,0,
26,0,0,0,0,0,0,0,0,0,0,
27,0,0,0,0,0,0,0,0,0,0,
28,0,0,0,0,0,0,0,0,0,0,
29,0,0,0,0,0,0,0,0,0,0,
30,0,0,0,0,0,0,0,0,0,0,
Round,0, 
Turn,0, 
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,
