Name,Red,Blue,Done#,
Cash,4723,4206,
Baltimore & Ohio,10,0,
Boston & Maine,0,10,
Chesapeake & Ohio,0,10,
Illinois Central,0,10,
Erie,2,8,
New York Central,0,10,
Nickel Plate,10,0,
New York New Haven & Hartford,1,9,
Pennsylvania,10,0,
Wabash,10,0,
Baltimore & Ohio,0,0,
Boston & Maine,0,0,
Chesapeake & Ohio,0,0,
Illinois Central,0,0,
Erie,0,0,
New York Central,0,0,
Nickel Plate,0,0,
New York New Haven & Hartford,0,0,
Pennsylvania,0,0,
Wabash,0,0,
Names,Baltimore & Ohio,Boston & Maine,Chesapeake & Ohio,Illinois Central,Erie,New York Central,Nickel Plate,New York New Haven & Hartford,Pennsylvania,Wabash,
Cash, 43,530,28,115,329,113,40,385,30,80,
NetProfit,440,250,470,330,310,490,300,140,450,270,
Valuation, 13,12,15,12,13,14,10,8,15,13,
President, 0,1,1,1,1,1,0,1,0,0,
Shares, 0,0,0,0,0,0,0,0,0,0,
Orphans, 0,0,0,0,0,0,0,0,0,0,
Started, 1,1,1,1,1,1,1,1,1,1,
Reship, 0,0,0,0,0,0,0,0,0,0,
TurnOrder, 4,6,0,7,5,2,8,9,1,3,
00B2D250,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
00B2D278,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
00B2D2A0,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
00B2D2C8,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
00B2D2F0,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
00B2D318,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
00B2D340,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
00B2D368,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
00B2D390,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
00B2D3B8,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
00B2D3E0,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
00B2D408,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
00B2D430,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
00B2D458,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
00B2D480,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
00B2D4A8,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
00B2D4D0,Albany,Augusta,Baltimore,Boston,Buffalo,Burlington,Cairo,Chicago,Cincinnati,Cleveland,
